,User,Text,Date,Hashtags
622,ptsc_sdb,In quarantine self isolation lockdown. I have to dress up like a ninja just to nip across the landing for a wee. I work in the NHS I haven’t been tested for Covid19 &amp; I won’t be tested before I return to work. Apart from that abso blooming lutely marvellous. How are you? ,2020-03-31 21:49:28+00:00,
623,Rojdjango,"Just going to leave this here. Cuz, sad times #blindinglightsChallenge #TikTok #balletVSCyclist #cycling #strava #lockdown #COVID19 #keepsmiling",2020-03-31 21:49:21+00:00,#blindinglightsChallenge #TikTok #balletVSCyclist #cycling #strava #lockdown #COVID19 #keepsmiling
624,PolitiTroll1776,Trump rambles on and says not one word of condolences to the families that have lost loved ones. But he got to thank Franklin Graham though. So theres that. #COVID19 #TheLockdown #TuesdayThoughts #TuesdayMotivation #StayAtHome #lockdown #Resist #TrumpLiesAmericansDie,2020-03-31 21:48:54+00:00,#COVID19 #TheLockdown #TuesdayThoughts #TuesdayMotivation #StayAtHome #StayAtHome #lockdown #Resist #TrumpLiesAmericansDie
625,LauraDistin360,#Coronavirustruth #StayAtHome #COVID19 #TheLockdown #lockdown #StayHome #coronavirus,2020-03-31 21:48:50+00:00,#Coronavirustruth #StayAtHome #StayAtHome #COVID19 #TheLockdown #lockdown #StayHome #StayHome #coronavirus
626,ardie_dalangin,hikikomori lifestyle is LIT! #hikikomori #EnhancedCommunityQuarantine #lockdown #coronavirus #COVID19 #COVID19PH,2020-03-31 21:48:49+00:00,#hikikomori #EnhancedCommunityQuarantine #lockdown #coronavirus #COVID19 #COVID19PH
627,JPJets_Group,Dubai said on Tuesday it would help its state-run Emirates airline overcome the damaging impact of the coronavirus outbreak and enforced a full lockdown on a district famous for its gold and spice markets @emirates #Emirates #EmiratesAirLine #COVID19 #uaegov #uaeLockdown #Dubai,2020-03-31 21:48:49+00:00,#Emirates #EmiratesAirLine #COVID19 #uaegov #uaeLockdown #Dubai
628,Inquisitore71,You are very stupid. I hope all Americans remember that when will voting. Lockdown or much Americans will die by covid19.,2020-03-31 21:48:38+00:00,
629,PhillenniumLine,More backyard spelunking #littlefrank #babyexplorer #pandemicadventures #covid19lockdown https://www.instagram.com/p/B-aeVlGBNhw/?igshid=p6bqf8pk5hwf,2020-03-31 21:48:35+00:00,#littlefrank #babyexplorer #pandemicadventures #covid19lockdown
630,lisa_kittycat,#essentialwork #COVID19 #lockdown this is too hectic. At least they lifted the cig ban,2020-03-31 21:48:26+00:00,#essentialwork #COVID19 #lockdown
631,2ulie,Married how far..? #COVID19 #lockdown #lockDownSouthAfrica,2020-03-31 21:48:25+00:00,#COVID19 #lockdown #lockDownSouthAfrica
632,taalees_laakh,The world is not a problem The problem is your unawareness #lockdown #COVID19 #CoronaVirusPakistan,2020-03-31 21:48:22+00:00,#lockdown #COVID19 #CoronaVirusPakistan
